Dimension,Score
Delivered cost,Medium
Functional performance,Medium
Ease of use / complexity,Medium
Demand maturity / market opennes,High
Market size,Medium
Downstream value chain,Low
Capital flow,High
"Project development, integration and management",High
Infrastructure,Medium
Manufacturing & supply chain,Medium
Materials sourcing,Low
Workforce,Medium
Regulatory environment,Medium
Policy environment,High
Permiting & siting,Low
Environmental & safety,Low
Community perception,Low
